Gene Name,0h-1,0h-2,0h-3,3h-1,3h-2,3h-3,9h-1,9h-2,9h-3,12h-1,12h-2,12h-3
Phex27862 CYP,-1.571727,-0.466107,0.146196,0.002679,-1.569379,-1.24494,0.077758,0.347947,0.389378,0.195128,-0.002679,-0.133328
Phex28056 OMT,-1.737702,0.02104,0.357785,-0.547428,-0.570432,-1.232423,1.034173,-0.801419,1.12535,-0.02104,1.163087,1.059418
Phex28081 2-ODD,-5.711329,-4.053091,-2.135003,0.558101,-0.019548,0.027419,0.047831,-0.762514,-0.073612,0.019548,0.817098,0.584142
Phex28162 OMT,2.024614,1.593938,1.05245,0,0,-0.07939,-1.701894,-0.119851,-0.729399,0.6166,0,0
Phex28268 CYP,-0.932484,-0.164616,0.292627,1.287564,0.978661,1.563793,-0.134315,0,0.130019,-3.304417,-1.290683,0
Phex2842 CYP,0.684906,0.600812,0.893773,-0.969089,-1.485343,-0.096239,-0.245135,0.096239,0.440001,-0.250278,0.1125,-0.594559
Phex2843 CYP,0.624417,0.966281,1.205746,-0.009563,-0.780227,-0.131981,-0.042711,-0.0312,-0.19202,0.009563,0.031133,0.352214
Phex2845 OMT,0.171629,0.822664,1.026098,0.308888,-0.552145,-0.011369,0.011369,-0.050448,-0.842094,-0.290168,-0.051567,0.178447
Phex28512 CYP,-2.505457,1.219513,1.094111,0.51375,-2.224661,-0.102378,0.102378,-1.311112,-0.61729,-3.341346,1.104858,0.172642
Phex28531 CYP,-1.231813,-0.349987,-0.489623,0.313673,-0.929452,-0.35933,0.49231,1.276106,0.686831,0.318586,-0.313673,0.72696
Phex2878 2-ODD,-0.362411,-0.068373,0.401316,0.400882,-0.760852,-0.216351,0.299412,0.685837,0.068373,0.548295,-0.816817,-0.169679
Phex28861 OMT,-1.245,-0.244892,0.432044,-1.039618,0,-0.989752,0,0.244892,0.450347,0.576022,-1.928293,0.330553
Phex28973 OMT,0.007179,0.733419,0.503165,-0.587481,-0.542061,-1.555246,0.576778,-0.999191,0.010641,-0.007179,0.293474,-0.9814
Phex29027 CYP,-0.600273,1.833821,1.593746,-2.30003,-2.083552,0.289696,0.839381,0,0,-1.324506,-0.289696,0.944161
Phex29134 OMT,0.056677,0.618747,0.804631,-0.947423,-0.056677,-0.129623,-0.128045,-0.124607,0.711766,0.672091,-0.442774,0.375882
Phex29182 CYP,-0.65002,-0.411192,-0.586881,0.035009,-0.145,1.327959,0.46152,-1.071443,0.900502,0.083133,0.844166,-0.035009
Phex29221 CYPa_1,-4.70465,0,-1.419904,2.658776,1.66283,2.386569,0,2.011021,-0.470331,1.013975,-2.437958,-0.656655
Phex29271 2-ODD,0,0.137299,-0.22729,0.911022,-0.645599,0.898504,-0.708123,0,-0.18294,0.581097,-0.137299,0.216931
Phex29275 OMT,-0.478796,0.25927,-0.362793,-0.81976,-2.673438,0.373342,0.164139,-0.835446,1.240915,0.771667,-0.164139,0.238071
Phex29338 2-ODD,-2.575416,0.759666,1.426696,-0.794451,0.047582,0.479072,-0.807582,-0.047582,-2.368722,0.38099,-0.742066,0.649398
Phex29408 OMT,-3.134208,-2.869637,-1.987603,0.134655,-0.347053,0.492878,0.65164,-1.125055,0.496566,-0.134655,0.823463,0.888203
Phex29496 CYP,-2.091787,-0.935606,-0.736919,-0.194602,-1.01585,1.027664,0.875959,-0.162792,0.538112,0.162792,0.23931,0.240687
Phex29566 CYP,0,0,-2.655403,-2.59193,-2.512432,0,0,1.809717,1.110208,1.200809,-0.210408,1.09704
Phex29584 CYP,-2.080611,0,-0.909465,0.994719,-0.181984,1.033815,-0.029368,0,1.341674,-0.805089,0.6987,1.084829
Phex29753 2-ODD,-1.751648,-0.765933,0.372201,1.053375,-1.436299,0.814631,0,0.779783,0,0.032281,-0.487131,-0.521346
Phex29868 OMT,-2.655049,0.203191,0.050986,-2.388887,-2.341189,-0.369653,-0.050986,0.222813,0.434604,-1.394405,0.689173,1.520245
Phex29905 OMT,-1.300515,-0.258735,0.572221,-0.084588,-2.583856,0.348377,-0.337551,0.352088,-0.383747,0.586734,0.357815,0.084588
Phex29915 CYP,-4.981698,-4.942795,-3.556489,0.103755,-0.535773,0.02184,0.069962,-0.035208,0.439203,0.373394,-0.02184,0.08804
Phex2992 OMT,-0.096139,0.451434,0.660676,-0.3639,-1.154488,-0.067944,-0.025541,0.134753,-0.129242,0.356939,0.089872,0.025541
Phex29975 CYP,-6.082121,0,-4.411232,-0.242446,-1.04031,-1.785244,1.440141,3.340379,2.405049,3.282753,0,1.646167
Phex29997 CYP,-3.60545,-2.477191,-2.420976,-0.034865,0.034865,0.234913,0.494742,-0.750188,0.417421,-1.391847,0.233401,0.562398
Phex30 OMT,-2.985682,-2.914123,-3.103173,0.712428,-0.328079,0.527859,0.787019,0.214136,0.153126,-0.153126,-0.159383,0.477396
Phex30270 2-ODD,-2.193757,0,0,0.387624,0.296123,0.957746,0.706056,-0.220962,-1.811243,-0.861722,0.220962,-0.868253
Phex30594 OMT,-1.039886,-0.417357,-0.096386,0.00529,-0.799528,0.148602,0.433011,-0.341267,0.349151,-0.00529,0.288568,0.560478
Phex30607 OMT,-0.497036,0.106282,0.462024,0.284482,-0.106282,0.50849,0.269976,-0.936617,0.304527,-0.623457,-0.38987,-0.118584
Phex30646 2-ODD,-0.409512,-0.000746,0.387671,0.164097,-0.453163,0.200795,-0.156422,0.032817,0.156056,0.000746,-0.164909,-0.135657
Phex30828 SDH,-1.952716,-1.083944,-0.683901,0.264708,-0.255656,0.616117,0.783565,-0.976366,0.492421,-0.476432,0.255656,0.768193
Phex30848 2-ODD2_2,-1.722009,-1.117929,-0.581633,-0.165702,-0.922474,0.165702,1.135946,-0.191673,1.271651,0.814555,2.020455,1.591136
Phex30934 CYP719A23,-1.352047,-0.613061,-0.252577,0.445902,-0.118464,0.693444,0.564601,-1.778393,0.385393,-0.796488,0.118464,0.448554
Phex31052 CYP,-0.349434,0.222606,0.51916,-0.292971,-1.121111,-0.385199,-0.063358,0.047647,-0.047647,0.066518,0.139749,0.132803
Phex31067 CYP,-0.81537,-0.367308,-0.011674,0.508277,0.07469,0.803122,0.676468,-1.605851,0.066559,-1.897016,-0.761762,0.011674
Phex31132 CYP,-0.068512,0.688493,1.18175,-0.015042,-0.348294,0.091105,0.218314,-0.764042,0.404328,-0.743944,-0.488394,0.015042
Phex31211 CYP,-0.249704,0.295812,0.651303,-0.798029,-1.165305,-0.434806,0.277954,-0.556741,0.208692,-0.153474,0.400808,0.153474
Phex3141 2-ODD,0.16202,0.172094,0.937107,-0.00896,-0.780996,0.14589,-0.30336,-0.637353,0.150819,-0.184151,-0.539123,0.00896
Phex31476 CYP,-0.313296,0.185935,0.664096,-0.168738,-0.822274,-0.324531,0.482477,-0.694778,0.422339,-0.403459,0.168738,0.511567
Phex31484 OMT,-0.342877,0.324192,0.602883,-0.32789,-1.004117,-0.342024,-0.03585,0.216366,0.334326,-0.002934,0.002934,0.192836
Phex31499 CYP,-1.119513,-0.929771,-0.654175,0.325962,-0.407525,0.43762,0.115106,-0.093731,0.5227,-0.077917,0.183511,0.077917
Phex3150 OMT,-1.240751,0.460623,0.679381,-0.00522,-2.550941,-0.008253,-1.020326,0.193658,0.158187,0.00522,-1.51854,0.657631
Phex31545 CYP,0.241718,0.592658,0.933767,0.065405,-0.552518,0.203652,-0.142455,-0.918008,0.218171,-0.690037,-0.227095,-0.065405
Phex31602 OMT,-0.488759,-0.103159,0.276041,-0.133376,-0.328196,0.121925,0.103159,0.221503,-0.226441,0.226764,0.245163,-0.234006
Phex31607 OMT,1.15182,1.357873,1.627336,0.218028,-0.534924,0.274309,0.007896,-0.007896,-0.127116,-0.585971,-0.444509,-0.707976
Phex31746 OMT,-0.435451,0.013908,0.346462,-0.33522,-1.063903,-0.14867,0.001765,-0.022333,0.1696,0.048042,0.172778,-0.001765
Phex31813 CYP,1.008784,1.490077,1.721858,-1.236367,-1.915977,-1.108793,-0.945047,-1.98446,-0.081713,0.081713,2.344002,1.523312
Phex31858 CYP,-0.893539,-0.175647,0.043004,-0.043004,-0.546223,0.188842,0.761963,0.099951,0.15707,-0.117041,-0.070134,0.334716
Phex31882 CYP,-0.416884,-0.136246,0.025886,0.521315,-0.033875,0.456388,-0.48019,1.000974,0.059042,0.608566,-0.321605,-0.025886
Phex3197 CYP73A107_2,-2.935338,-1.894332,-1.690263,0.485034,0.118598,0.568532,0.192681,0.232058,-0.11852,-0.102248,-0.6085,0.102248
Phex32010 CYP98A68,-1.695024,-1.061932,-0.901336,0.3583,-0.167702,0.821284,1.437877,-0.477196,0.82174,-0.401726,0.167702,0.905104
Phex32127 OMT,-0.884575,-0.380561,-0.010798,0.010798,-0.618276,0.322908,0.860079,-0.348611,0.586167,-0.145914,0.581462,1.008726
Phex32153 CYP,-1.638649,-2.423181,-0.728614,0.12025,-0.441534,-0.006952,-0.546172,0.648177,0.570423,0.69744,0.106291,0.006952
Phex32174 CYP,-0.411865,-0.020911,0.181792,-0.121561,-0.920899,-0.1182,0.069351,0.020911,0.275651,-0.029278,0.061053,0.105714
Phex32415 OMT,-0.605369,0.010172,0.174362,-0.167365,-0.656063,-0.000028,0.258546,-0.432188,0.218058,-0.480036,0.000028,0.092579
Phex32445 2-ODD,0.259484,0.589885,0.494143,0.664412,-0.294815,0.762485,-0.271237,0.0348,-0.115139,-0.140867,-0.0348,-0.427972
Phex32520 2-ODD,-0.817851,-0.451362,-0.138161,-1.02128,-1.31968,-0.979689,1.058339,0.138161,0.495749,0.183615,0.87725,1.60978
Phex32528 OMT4,-0.106961,0.231626,0.371857,0.010062,-0.354384,0.015265,-0.231631,0.366622,-0.05165,0.081868,-0.010062,-0.040754
Phex32688 CYP,-1.780794,-0.160148,-0.42514,-0.655643,-0.718648,-0.002564,0.504712,0.002564,0.199361,0.035498,0.955523,0.893653
Phex32713 OMT,0.202965,0.705295,1.068047,-0.115977,-0.50644,0.005755,-0.005755,-0.108612,-0.103699,0.190482,0.215714,-0.03244
Phex33154 2-ODD4_3,-1.1352,-0.454203,-0.052047,0.413271,0.001225,0.75006,0.23444,-0.001225,-0.11909,-0.024464,0.225296,0.252484
Phex33222 OMT,-2.023817,-0.763144,-0.681817,1.369913,0.689697,1.274487,0.730904,-0.709393,0.183245,-0.573019,-0.183245,0.478998
Phex33432 CYP,0.584964,0.8696,1.129407,-0.01338,-0.262387,0.203097,-0.100345,-0.007946,0.134343,-0.011455,-0.198053,0.007946
Phex33617 CYP75B65,-2.999036,-1.756694,-1.402642,-0.644432,-0.696435,-0.158226,0.805764,0.502443,0.158226,0.18333,0.540806,0.842831
Phex33692 CYP,0.187727,1.024118,1.337641,0.118436,-0.067722,0.798703,0.067722,-1.402115,-0.078291,-1.601134,-0.26896,-0.67451
Phex3381 CYP73A107_1,-2.545811,-2.155969,-1.612993,0.528507,-0.099087,0.410151,0.256967,0.456966,0.182496,-0.04364,-0.399621,0.04364
Phex33816 OMT,-0.978236,-0.648586,-0.157749,-1.111226,-1.667823,-0.972303,0.157749,0.465189,0.191046,0.721889,0.739683,0.583835
Phex33875 OMT,-2.365821,-1.645076,-0.261096,-0.931068,-1.193515,-0.579626,0.737123,1.806465,0.441042,1.531876,0.261096,0.776966
Phex34006 2-ODD,-0.250632,0.071941,0.273436,0.126854,-0.728626,0.151981,-0.071941,1.204144,-0.357072,1.191648,-0.498741,-0.14461
Phex34339 PPO,-4.27044,-2.800489,-2.644169,0.614381,-0.221786,1.135578,0.430851,-1.022765,0.385846,-1.709613,0.221786,0.546732
Phex34349 OMT,-0.473358,0.037061,0.054757,0.038909,-0.509827,0.326543,-0.327188,-0.022367,0.022367,-0.028096,0.061692,-0.363348
Phex34353 OMT,-5.806977,-4.757565,-3.317687,0.919173,0.528741,0.586566,1.284779,0.552225,1.376203,-0.674228,-0.528741,-0.549816
Phex3566 CYP,0.095058,1.003411,-0.064962,-0.698432,0.77033,-2.248597,-1.299911,-1.294585,0.289213,-0.31835,0.064962,0.731473
Phex359 PPO1_1,-1.163175,-0.108504,-0.185813,0.108504,-0.235816,0.619051,0.982859,-0.632129,0.676746,-0.82071,0.666131,0.991966
Phex360 PPO1_2,-0.869592,-0.916202,0.251046,-0.251046,-0.4842,0.604239,0.832785,-0.903867,0.381786,-1.674301,0.617601,0.799453
Phex3622 OMT6_1,-0.968561,-0.574435,-0.004593,0.456256,0.004593,0.577161,0.426099,-0.652149,0.30333,-0.701183,-0.099165,0.197572
Phex3623 OMT6_2,-0.788421,-0.044596,-0.358505,0.747111,0.038608,0.955133,0.693986,-0.673083,0.300061,-0.038608,-0.338413,0.340074
Phex3669 OMT,0.582223,1.102205,1.027075,-0.393823,-0.590452,-0.016692,-1.181835,0.187433,0.441724,-0.513296,-0.568694,0.016692
Phex3673 OMT5_1,-1.080498,-1.051974,-0.443837,0.366161,0.021043,0.491143,0.454879,-0.946502,0.636424,-0.391232,-0.021043,0.383078
Phex3674 OMT5_3,-0.623656,-0.722728,-0.392647,0.446404,-1.022543,1.099471,0.392647,-1.09878,0.515254,-3.136678,0.907351,1.64305
Phex3675 OMT5_2,-1.035529,-0.375234,-0.25389,0.488958,-0.339109,0.631014,0.590684,-0.882806,0.288135,-0.483004,0.327078,0.25389
Phex3851 2-ODD,0.563213,0.109849,1.077481,0.024689,-0.60523,-0.026828,-0.478697,-1.521968,-0.012823,-0.718095,0.012823,0.360896
Phex3868 OMT,0.430317,0.896001,1.185696,0.496621,-0.532875,0.032849,0.185114,-0.032849,-0.067454,-0.217884,-0.196401,-0.293632
Phex4023 2-ODD,0.403374,0.727372,1.307503,-0.504417,-1.16087,-0.639544,-0.433659,0.716835,0.016694,0.76738,-0.067942,-0.016694
Phex4495 2-ODD,-0.629647,0.104225,0.327706,-0.330971,-0.882181,-0.104225,0.129375,-0.424589,0.219887,-0.310679,0.183867,0.243185
Phex4623 2-ODD,-0.147512,0.518516,0.511499,0.147512,-0.273613,0.203869,-1.435542,0.966013,-0.780722,0.652226,-0.466977,-1.148388
Phex4712 OMT,-0.078835,0.411056,1.254733,-0.736964,-1.081821,-0.023594,0.023594,0.04823,0.506729,0.470812,-0.03289,-0.227535
Phex4737 OMT,0.241694,0.998783,1.295668,-0.741947,-0.793496,-0.09036,0.09036,-0.447226,-0.116565,-0.246944,0.391186,0.519401
Phex5086 OMT,-0.313178,0.450175,0.420337,-0.016497,-1.814174,0.152352,-0.285742,0.71074,0.016497,0.378377,-0.954264,-0.244985
Phex522 CYP71CU1_2,-1.082801,-0.182941,0.200071,0.086549,-0.375889,0.528309,0.728608,-2.306732,0.086552,-0.742427,-0.086549,0.469099
Phex523 CYP71CU1_3,0.656986,0.392209,0.533073,-1.156901,-0.871601,0.205624,0.636186,-2.468519,0.634547,-1.672145,-0.528068,-0.205624
Phex524 CYP71CU1_1,-0.95068,-0.351791,0.09569,0.016592,-0.54837,0.453441,0.645284,-1.73115,-0.002622,-0.939938,0.002622,0.558463
Phex5353 CYP,-2.131092,-2.195298,-1.434042,0.55847,-0.289292,0.26884,-0.066907,0.868153,0.066907,0.589855,-0.397249,0.174075
Phex5355 OMT,0.548747,1.000097,1.668799,0.24262,-0.781259,0.666744,-0.540214,-0.651123,0.197248,-0.722813,-0.197248,-0.738817
Phex536 OMT,-0.039141,0.863174,1.087626,0.036692,-1.937176,-0.159285,-0.28595,-0.285288,-0.036692,0.594679,0.274895,0.16401
Phex537 OMT2,0.075884,0.532246,0.860295,-0.803332,-1.497439,-0.644038,-0.281955,0.117698,-0.023743,0.023743,0.088849,-0.027893
Phex538 OMT2,0.083888,0.509067,1.005447,-1.143354,-1.374966,-0.700302,-0.315633,-0.054479,-0.046355,0.046355,0.283689,0.181483
Phex5394 CYP,-0.883208,-0.189913,0.082328,1.070114,0.916708,1.318992,-1.276923,-0.563022,0.063654,0.157076,-0.063654,-0.798927
Phex5395 CYP,-1.266982,-0.105652,-0.332783,1.616323,0.844554,1.547045,0.188908,0.308873,-1.275452,-0.135442,-0.579276,0.105652
Phex54 2-ODD,-2.480126,-1.798869,-1.521227,0.043784,-0.720101,0.157988,0.490624,0.313834,0.248987,-0.228859,-0.043784,0.203912
Phex5649 CYP,0.329862,0.865018,1.219788,-0.696315,-0.716336,0.046361,-0.311795,-1.340116,-0.046361,-1.026999,0.271943,0.258703
Phex5679 OMT1,-1.191675,-1.208847,-0.386209,-0.744243,-0.585399,1.186659,2.417853,0.386209,2.144765,-0.513932,1.222695,2.499868
Phex5680 OMT1,-2.311906,-1.716277,-1.094819,-0.028087,-0.73009,0.05128,1.348216,-0.983953,0.771186,0.028087,0.235168,1.009499
Phex5864 CYP,0.535437,1.272712,1.558721,-0.047453,0.047453,0.438871,-0.585447,-0.69254,-0.231739,-0.842916,0.14636,-0.05621
Phex5865 CYP,0.542622,1.026806,1.494476,0.02247,-0.091163,0.429392,-0.306771,-0.894291,0.444533,-1.077865,-0.02247,-0.028787
Phex6138 2-ODD,-3.16439,-2.340363,-1.769433,0.03583,-1.501627,0.124744,0.43194,0.50833,0.047145,0.165434,-0.03583,-0.042019
Phex6200 CYP,-0.059553,0.195447,0.059553,1.5409,0.78182,1.001591,-0.804296,-0.541121,-0.789202,0.241824,-0.266436,-0.585504
Phex6398 2-ODD,-0.269235,-0.484076,-0.057097,0.908136,-0.652463,0.696623,0.804031,-0.173284,0.544847,-0.062491,0.057097,0.487842
Phex6407 2-ODD,0.142749,-0.003008,1.10591,-0.365924,-1.068,0.309286,0.003008,-0.310483,0.033241,0.15251,-0.633338,-0.046218
Phex6408 2-ODD,-0.377118,0.545827,0.358723,0.445454,0.008044,0.543627,0.142944,-0.471693,-0.008044,-0.949109,-0.946899,-0.815675
Phex6409 2-ODD,0.279657,0.499566,1.107916,0.217351,-0.127475,0.459976,-1.105048,-0.268937,0.044578,-0.278935,-0.63844,-0.044578
Phex6426 OMT,-0.53488,0.207192,0.473814,-1.01596,-1.39202,-0.583608,0.259424,-0.633512,0.362099,-0.207192,0.332548,0.307878
Phex6589 OMT,-0.227039,-0.161893,0.518259,-0.349233,0.161893,1.087052,-0.912517,0.905343,0.851543,-1.913435,0.462366,-0.35961
Phex6624 PLR,-0.540802,0.074362,0.407614,-0.005075,-0.718387,0.12094,0.261131,-0.406522,0.395271,-0.362754,-0.038816,0.005075
Phex6678 CYP,0.56893,0.592131,1.071643,0.281183,0.046965,0.507036,-0.046965,-1.079966,-0.277671,-1.153099,-0.785497,-0.661347
Phex6682 2-ODD,-2.860752,-1.93113,-1.641316,0.153266,-0.064712,-0.240057,0.369391,0.292508,0.109535,-0.083401,0.064712,0.154832
Phex6709 2-ODD,0.131448,0.938511,0.959647,-0.215825,-2.049019,0.035005,-0.422432,-0.035005,-0.255711,0.107414,0.564991,-0.442981
Phex7000 CYP,0.171962,0.75697,1.147208,0.140589,-0.140589,0.632337,0.167453,-1.343552,-0.257198,-1.2609,-0.650818,-0.482962
Phex7041 OMT,0.336947,0.723924,0.889726,-0.07474,-0.915854,-0.158307,-0.415627,0.320657,0.089616,0.030609,-0.030609,-0.538373
Phex7168 CYP,0.249719,0.285668,1.464962,0.817176,0.120643,0.117498,-1.484485,-0.828296,-0.117498,-1.055914,-0.605429,-0.64541
Phex7244 OMT,1.236508,0.525851,0.656137,-1.178108,-0.148616,0.015618,-0.452452,-0.015618,0.280117,-0.531974,-1.455639,0.232647
Phex7407 OMT,0.539075,0.881063,1.601195,-0.012913,-0.741125,-0.014333,-0.143111,-1.103444,0.233786,0.009408,-0.009408,0.459024
Phex7610 OMT,-0.325773,0.248049,0.735901,-0.594502,-0.614865,-0.047403,0.239787,-0.219037,0.157532,-0.30233,0.047403,0.250196
Phex7804 CYP,-0.506557,0.151859,0.807432,-0.204418,-0.356419,0.075007,0.018238,-0.592749,0.361998,-0.018238,-0.310287,0.437933
Phex8001 2-ODD,-2.595978,-1.72734,-1.270694,0.257093,-0.367689,0.449866,0.583642,-0.097848,0.294004,-0.359192,0.097848,0.315861
Phex8002 2-ODD,-2.520426,-1.402463,-1.263793,0.127777,-0.127777,0.495122,0.541053,-0.273756,0.182512,-0.271595,0.467111,0.65914
Phex8017 OMT,0.582768,1.040948,1.10872,-0.223661,-1.577225,-0.214157,0.887221,-0.623088,-0.075041,-0.33936,0.196454,0.075041
Phex8018 OMT,0.268206,0.440833,1.217202,-1.100848,-0.750639,-0.475563,-0.085824,0.085824,0.293773,-0.167879,-0.396979,0.704041
Phex8175 OMT,-1.331333,0.674206,0.98149,-0.523883,0.024923,0.502167,-0.024923,-0.028101,0.651715,-0.687538,-0.425982,0.554916
Phex8244 OMT,-0.008337,0.108046,0.255302,-0.4424,-0.735737,-0.092194,0.008337,-0.224224,0.339211,0.188085,0.068895,-0.139141
Phex8366 CYP,-1.395115,-1.578022,-0.76657,0.908469,-0.108701,0.108701,-0.472758,1.839762,0.799295,1.451187,-0.38301,0.210563
Phex8509 2-ODD,0.042192,-0.098622,0.168183,-0.358394,-0.465927,-0.617034,0.095269,-0.153528,0.247849,0.082362,-0.042192,0.24575
Phex8565 CYP,-0.022359,1.321757,1.228078,-0.022109,-0.585921,0.022109,0.372593,-0.205213,0.199725,-0.157778,0.061053,-0.071742
Phex8746 CYP,-0.47188,-0.0051,0.402011,-0.560589,-0.836034,0.021108,-0.379343,0.19256,-0.15075,0.587234,0.081824,0.0051
Phex8799 OMT,-0.452936,0.031617,0.547075,-0.115544,-0.628837,0.254666,0.301201,0.474211,-0.039762,0.435221,-0.349214,-0.031617
Phex8842 CYP,-0.625308,-1.657988,1.162128,0.564934,-0.660813,-0.02553,0.857114,-0.215106,-0.025828,0.693083,0.02553,1.115989
Phex887 2-ODD,-0.976766,-0.388468,0.160726,-0.306159,-1.030586,-0.260081,0.421108,-0.160726,0.265772,0.317976,0.530747,0.429656
Phex8932 OMT,0.026805,0.788138,1.37869,-0.026805,-1.051561,0.253228,0.210982,0.040788,-0.113107,-0.086688,-0.138861,-0.666392
Phex8983 CYP,-0.86095,-0.4213,-0.494894,0.121018,-0.254729,0.627184,-0.500996,0.243705,0.068027,0.369727,0.355351,-0.068027
Phex9095 2-ODD3_4,-2.99806,-2.095956,-1.0423,0.635309,0.241857,0.970969,0.407222,-0.049563,0.049563,-0.419181,-0.504599,0.343356
Phex9096 2-ODD3_3,-2.69422,-1.568881,-2.091642,0.825152,-0.169856,0.788169,0.503718,0.274594,0.122315,-0.460431,-0.091729,0.091729
Phex9097 CYP9_3,-0.508728,-0.444303,0.201366,0.593218,-0.185743,0.088875,0.160074,-0.653594,1.124849,-0.463314,-0.088875,0.373622
Phex9099 CYP9_2,-1.301895,-1.130817,-0.969069,0.540672,-0.313747,-0.081263,0.786703,0.158222,0.772461,0.081263,-0.08373,0.532703
Phex9106 CYP,0.009948,0.331981,0.706183,-0.51978,-0.452147,-0.302589,-0.335557,0.148848,0.030101,-0.024351,0.108572,-0.009948
Phex9291 CYP,0.615719,0.593656,-0.006552,-1.175057,-2.101584,0.006552,0.173127,-2.174228,-0.4033,-3.184042,0.023769,0.375154
Phex9350 2-ODD,0.377685,1.174988,1.397593,-1.988478,0,-0.929793,0.864583,-0.977878,-2.02855,0,-0.375019,0.633156
Phex9482 2-ODD,0.42597,0.79855,0.995118,0.106917,-0.256257,0.171597,-0.004116,-0.577627,-0.037974,-0.327053,-0.292479,0.004116
Phex9633 CYP,0.532879,1.069423,1.187888,-0.19189,-0.754799,0.106433,-0.429924,-0.142881,0.291393,-0.108625,0.089046,-0.089046
Phex991 OMT,0.313347,0.727152,0.992136,0.008379,-0.569475,0.329674,-0.156795,-0.099783,0.029756,-0.509645,-0.008379,-0.110379
